quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10,10,,10,,10,,10,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20,20,,20,,20,,20,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30,30,,30,,30,,30,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
40,40,,40,,40,,40,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
50,50,,50,,50,,50,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
60,60,,60,,60,,60,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
70,70,,70,,70,,70,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
80,80,,80,,80,,80,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
90,90,,90,,90,,90,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
100,100,,100,,100,,100,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,1.0%,,2,,0.27,,32
110,110,0.0%,110,6,110,0.00,110,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,6,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,8,,0.00,,0
,,0.0%,,14,,0.00,,0
120,120,0.0%,120,6,120,0.00,120,0
,,0.0%,,10,,0.00,,0
,,0.0%,,8,,0.00,,0
,,0.0%,,6,,0.00,,0
,,0.0%,,10,,0.00,,0
,,0.0%,,8,,0.00,,0
,,0.0%,,6,,0.00,,0
,,0.0%,,10,,0.00,,0
,,0.0%,,8,,0.00,,0
,,0.0%,,18,,0.00,,0
130,130,0.0%,130,16,130,0.00,130,0
,,0.0%,,20,,0.00,,0
,,0.0%,,16,,0.00,,0
,,0.0%,,20,,0.00,,0
,,0.0%,,16,,0.00,,0
,,0.0%,,20,,0.00,,0
,,0.0%,,8,,0.00,,0
